name,connection_points_from,connection_points_to,r,x,primary_shunt,rate,active_power_flow,reactive_power_flow
0_to_11,0,11,0.001159408967561714,0.004637635870246856,3.493644783534469,4791.545354063999,0.0,0.0
0_to_9,0,9,0.00012027627541950919,0.00048110510167803677,7.339172395304176,14752.915958562595,0.0,0.0
1_to_10,1,10,0.0006603534256018591,0.0026414137024074365,5.666385128057387,6383.473251302,0.0,0.0
1_to_12,1,12,0.002257451432115144,0.009029805728460577,5.208067596115957,2490.342651125,0.0,0.0
1_to_3,1,3,0.0022726522470550574,0.00909060898822023,2.1668065067197357,2695.2442616603,0.0,0.0
1_to_5,1,5,0.00035588483955797,0.00142353935823188,10.057818016553492,12971.84811314,0.0,0.0
1_to_8,1,8,0.01126362000665565,0.0450544800266226,1.193225773555784,898.414753887,0.0,0.0
10_to_3,10,3,0.0023900123276684856,0.009560049310673942,3.4039849940033022,3294.1874309189993,0.0,0.0
10_to_4,10,4,0.00085730726541689,0.00342922906166756,4.450176328128279,5437.773510366399,0.0,0.0
10_to_8,10,8,0.001070174807207955,0.00428069922883182,5.038680721812827,3861.607275477699,0.0,0.0
11_to_4,11,4,0.0005832379110858113,0.002332951644343245,5.382250837983815,5406.250185668499,0.0,0.0
12_to_5,12,5,0.003233019873079893,0.012932079492319571,1.8646897336358157,1245.1713255625,0.0,0.0
12_to_6,12,6,0.0026327437832334346,0.010530975132933738,1.9833104284202236,2395.7726770319996,0.0,0.0
13_to_3,13,3,0.004439800009179622,0.01775920003671849,0.8361525449593475,1197.8863385159998,0.0,0.0
13_to_6,13,6,0.0025237733364863644,0.010095093345945457,1.0694364298259194,1371.2646243519998,0.0,0.0
13_to_9,13,9,0.0006507060904891597,0.002602824361956639,6.00486239705561,5831.815069090499,0.0,0.0
2_to_4,2,4,0.0008697523711772784,0.0034790094847091135,5.896852033214162,5485.058497414299,0.0,0.0
2_to_7,2,7,0.0030797220920646107,0.012318888368258443,1.305016956704576,945.6997409327998,0.0,0.0
2_to_8,2,8,0.0010256789410663294,0.0041027157642653175,3.0906763551893954,3089.2858203823,0.0,0.0
3_to_4,3,4,0.004108597694255115,0.01643439077702046,3.095107357234599,2395.7726770319996,0.0,0.0
3_to_6,3,6,0.001157179249651268,0.004628716998605072,5.448321842028438,4287.172158897599,0.0,0.0
3_to_9,3,9,0.0012291787298113052,0.004916714919245221,2.08343355312164,3593.659015548,0.0,0.0
4_to_7,4,7,0.0007746327692163065,0.003098531076865226,6.1637453290935476,5232.871899831099,0.0,0.0
4_to_9,4,9,0.007371722871254539,0.029486891485018155,1.3883248855331805,1197.8863385159998,0.0,0.0
