name,bus_id,active_power,max_active_power,max_reactive_power
Load_0,0,7208.304767,4281.3,5137.56
Load_1,1,2770.494387,3779.766828,4535.720194
Load_2,2,2958.48893,15.9,19.08
Load_3,3,4112.848312,2448.75,2938.5
Load_4,4,9532.202989,2553.66,3064.392
Load_5,5,3959.059072,517.8,621.36
Load_6,6,3818.894081,648.45,778.14
Load_7,7,1664.573036,232.05,278.46
Load_8,8,4886.336321,3494.55,4193.46
Load_9,9,3890.553039,6369.9,7643.88
Load_10,10,2779.163282,2033.4,2440.08
Load_11,11,1812.803848,1529.85,1835.82
Load_12,12,720.6539053,79.2,95.04
Load_13,13,1639.704029,1523.31,1827.972
