name,bus_id,fuel,unit_type,fuel_price,active_power,active_power_limits_max,active_power_limits_min,reactive_power_limits_max,reactive_power_limits_min,min_down_time,min_up_time,base_mva,heat_rate_avg_0,output_point_0,reactive_power
Gas_0,0,NATURAL_GAS,GT,8,3232.791623,22465.2344,0,44930.46881,-44930.46881,1,3,100,0.1,1,1062.56722
Gas_1,1,NATURAL_GAS,GT,8,7555.693551,17834.73547,0,35669.47094,-35669.47094,1,3,100,0.1,1,2483.43637
Gas_12,12,NATURAL_GAS,GT,8,1621.301745,10350.85162,0,20701.70324,-20701.70324,1,3,100,0.1,1,532.896113
Gas_3,3,NATURAL_GAS,GT,8,2011.483265,9741.917915,0,19483.83583,-19483.83583,1,3,100,0.1,1,661.142577
Gas_4,4,NATURAL_GAS,GT,8,2117.026877,16057.42016,0,32114.84032,-32114.84032,1,3,100,0.1,1,695.833085
Gas_5,5,NATURAL_GAS,GT,8,4771.908421,17293.37849,0,34586.75699,-34586.75699,1,3,100,0.1,1,1568.45045
Gas_10,10,NATURAL_GAS,GT,8,8520.228103,15157.1929,0,30314.38581,-30314.38581,1,3,100,0.1,1,2800.46355
Gas_7,7,NATURAL_GAS,GT,8,434.2306436,2429.30039,0,4858.600781,-4858.600781,1,3,100,0.1,1,142.724711
Gas_8,8,NATURAL_GAS,GT,8,3562.797972,11502.91021,0,23005.82041,-23005.82041,1,3,100,0.1,1,1171.03506
Gas_9,9,NATURAL_GAS,GT,8,5235.333266,16423.19975,0,32846.3995,-32846.3995,1,3,100,0.1,1,1720.77083
Gas_6,6,NATURAL_GAS,GT,8,1612.69631,7354.63997,0,14709.27994,-14709.27994,1,3,100,0.1,1,530.067644
Gas_11,11,NATURAL_GAS,GT,8,1278.738779,8306.312397,0,16612.62479,-16612.62479,1,3,100,0.1,1,420.301111
Gas_2,2,NATURAL_GAS,GT,8,4071.465694,6094.614043,0,12189.22809,-12189.22809,1,3,100,0.1,1,1338.22606
Gas_13,13,NATURAL_GAS,GT,8,4283.38375,10083.84238,0,20167.68476,-20167.68476,1,3,100,0.1,1,1407.88015
Wind Offshore_0,0,WINDOS,WS,0.0,0.0,1800.6761267751324,0.1,2160.811352130159,-2160.811352130159,1.0,3.0,100.0,0.1,1.0,0
Wind Offshore_2,2,WINDOS,WS,0.0,0.0,4274.38343565934,0.1,5129.260122791207,-5129.260122791207,1.0,3.0,100.0,0.1,1.0,0
Wind Offshore_3,3,WINDOS,WS,0.0,0.0,2211.8842483243006,0.1,2654.2610979891606,-2654.2610979891606,1.0,3.0,100.0,0.1,1.0,0
