name,bus
1,0
3,0
4,0
6,0
7,0
8,8
9,8
11,2
14,4
16,0
17,2
19,1
21,8
23,8
25,8
27,8
28,8
29,0
31,10
33,0
34,12
35,12
36,12
38,2
39,5
40,7
41,7
43,2
44,2
45,2
47,2
48,2
49,0
50,0
51,10
53,9
54,13
55,13
57,13
58,13
59,12
60,12
62,12
63,13
64,4
65,5
66,4
67,12
70,10
71,5
72,5
73,2
75,5
76,6
77,0
79,2
80,2
81,2
82,12
83,8
84,8
85,6
88,11
89,11
90,6
91,6
92,6
93,12
97,4
98,7
101,7
102,7
103,11
108,11
109,11
110,6
111,6
112,6
113,11
114,6
115,11
116,11
118,11
119,11
121,11
122,11
126,11
127,11
130,11
131,11
132,11
133,11
134,11
135,6
136,6
137,11
139,11
140,6
141,11
142,11
144,11
145,11
146,11
147,6
148,11
149,11
150,11
151,11
152,11
153,11
154,11
155,6
158,11
161,12
162,11
163,11
164,6
166,6
167,6
168,11
169,11
170,11
171,11
172,11
173,11
174,11
175,11
176,11
177,7
178,6
179,2
180,2
181,2
182,2
183,8
185,11
186,11
187,11
188,11
189,9
190,13
192,7
193,11
194,11
196,11
197,11
198,6
199,6
200,11
202,6
203,11
204,6
205,6
206,11
207,6
208,6
209,0
210,0
211,3
212,3
213,10
214,13
215,13
216,13
217,7
218,7
219,6
221,12
222,12
223,13
224,13
225,3
226,0
227,1
228,13
229,13
230,1
234,9
235,9
237,3
238,3
239,3
240,10
241,10
242,10
245,10
246,10
249,6
253,6
254,3
255,3
256,3
257,13
258,0
259,0
260,13
262,1
265,6
266,4
268,6
269,10
270,12
271,12
273,8
274,8
275,3
276,3
277,12
278,5
280,2
283,10
284,10
285,12
286,0
287,6
288,9
289,6
290,2
291,2
293,5
294,5
295,0
296,0
297,0
298,0
299,0
300,12
301,0
302,0
304,10
305,13
306,13
309,10
310,13
311,13
313,5
314,1
316,1
318,1
319,1
320,13
321,9
323,5
324,2
325,2
326,2
327,2
328,4
329,4
330,4
331,4
333,8
335,5
337,4
339,13
340,5
341,5
342,5
343,5
344,5
345,5
346,2
347,2
348,2
349,4
350,4
352,4
354,4
355,3
356,3
357,3
358,3
359,3
361,3
363,6
364,11
365,2
366,13
367,13
368,9
369,8
370,3
371,3
372,3
373,4
374,6
375,13
376,0
377,13
378,13
379,13
380,0
381,13
383,10
386,0
387,0
388,0
389,10
390,4
392,11
393,1
394,1
395,1
396,1
397,10
398,8
399,13
400,6
401,8
402,8
405,9
406,9
409,13
410,1
411,6
412,8
414,8
415,8
416,9
417,4
418,4
422,13
423,9
424,13
425,0
426,0
427,13
428,2
429,11
430,11
431,11
432,1
433,1
434,1
435,2
436,9
437,9
438,13
439,13
440,8
441,5
442,5
443,12
444,12
445,6
446,7
447,7
448,6
449,11
451,6
452,3
453,3
454,11
455,11
456,11
457,11
459,11
460,11
461,6
462,6
463,11
464,11
465,11
466,11
467,11
468,11
469,11
470,6
471,11
472,6
473,6
474,0
475,0
476,6
477,6
478,6
479,0
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,13
489,0
490,0
491,1
492,10
493,10
494,10
495,8
2_220kV,0
5_220kV,0
10_220kV,2
12_220kV,2
13_220kV,4
15_220kV,4
18_220kV,7
20_220kV,8
22_220kV,8
24_220kV,8
26_220kV,8
30_220kV,8
32_220kV,5
37_220kV,5
42_220kV,7
46_220kV,2
52_220kV,13
56_220kV,13
61_220kV,12
68_220kV,10
69_220kV,13
74_220kV,2
78_220kV,5
86_220kV,6
87_220kV,11
94_220kV,6
95_220kV,6
96_220kV,6
99_220kV,3
100_220kV,3
104_220kV,11
105_220kV,11
106_220kV,11
107_220kV,11
117_220kV,11
120_220kV,6
123_220kV,11
124_220kV,11
125_220kV,11
128_220kV,3
129_220kV,11
138_220kV,11
143_220kV,6
156_220kV,11
157_220kV,6
159_220kV,12
160_220kV,12
165_220kV,6
184_220kV,11
191_220kV,11
195_220kV,11
201_220kV,8
220_220kV,6
231_220kV,9
232_220kV,1
233_220kV,1
236_220kV,13
247_220kV,1
248_220kV,6
250_220kV,6
251_220kV,6
252_220kV,6
261_220kV,13
263_220kV,1
264_220kV,1
267_220kV,11
272_220kV,8
279_220kV,5
281_220kV,5
282_220kV,5
292_220kV,5
303_220kV,0
307_220kV,13
308_220kV,10
312_220kV,1
315_220kV,1
317_220kV,1
322_220kV,9
332_220kV,4
334_220kV,5
336_220kV,5
338_220kV,4
351_220kV,4
353_220kV,4
360_220kV,3
362_220kV,9
382_220kV,10
384_220kV,4
385_220kV,10
391_220kV,10
403_220kV,9
404_220kV,9
413_220kV,13
421_220kV,13
450_220kV,6
458_220kV,6
