name,connection_points_from,connection_points_to,r,x,primary_shunt,rate,active_power_flow,reactive_power_flow
0_to_13,0,13,0.04,0.05,0.01,4413.2654576899995,0.0,0.0
0_to_5,0,5,0.04,0.05,0.01,3422.53239576,0.0,0.0
0_to_7,0,7,0.04,0.05,0.01,8196.064421424,0.0,0.0
0_to_9,0,9,0.04,0.05,0.01,7768.2478719519995,0.0,0.0
1_to_10,1,10,0.04,0.05,0.01,21075.594226518,0.0,0.0
1_to_5,1,5,0.04,0.05,0.01,6845.06479152,0.0,0.0
1_to_6,1,6,0.04,0.05,0.01,12249.063311139998,0.0,0.0
1_to_9,1,9,0.04,0.05,0.01,1711.26619788,0.0,0.0
10_to_4,10,4,0.04,0.05,0.01,6845.06479152,0.0,0.0
11_to_2,11,2,0.04,0.05,0.01,1778.816179375,0.0,0.0
11_to_7,11,7,0.04,0.05,0.01,17540.478528269996,0.0,0.0
12_to_2,12,2,0.04,0.05,0.01,3422.53239576,0.0,0.0
12_to_5,12,5,0.04,0.05,0.01,3422.53239576,0.0,0.0
12_to_6,12,6,0.04,0.05,0.01,3422.532395756,0.0,0.0
13_to_7,13,7,0.04,0.05,0.01,2386.766012831,0.0,0.0
13_to_8,13,8,0.04,0.05,0.01,4413.265457689,0.0,0.0
2_to_7,2,7,0.04,0.05,0.01,3985.44890822,0.0,0.0
3_to_8,3,8,0.04,0.05,0.01,1350.999629904,0.0,0.0
3_to_9,3,9,0.04,0.05,0.01,7475.531285472999,0.0,0.0
4_to_9,4,9,0.04,0.05,0.01,5989.431692579,0.0,0.0
5_to_6,5,6,0.04,0.05,0.01,6619.898186535001,0.0,0.0
5_to_7,5,7,0.04,0.05,0.01,6011.948353074999,0.0,0.0
5_to_9,5,9,0.04,0.05,0.01,3422.53239576,0.0,0.0
8_to_9,8,9,0.04,0.05,0.01,7835.797853448999,0.0,0.0
