bus_id,name,base_voltage,voltage,angle,bus_type,voltage_limits_min,voltage_limits_max
0,Bus 0,380.0,1.0,0.0,PQ,0.9,1.1
1,Bus 1,380.0,1.0,0.0,PQ,0.9,1.1
10,Bus 10,380.0,1.0,0.0,PQ,0.9,1.1
11,Bus 11,380.0,1.0,0.0,PQ,0.9,1.1
12,Bus 12,380.0,1.0,0.0,PQ,0.9,1.1
13,Bus 13,380.0,1.0,0.0,PQ,0.9,1.1
2,Bus 2,380.0,1.0,0.0,PQ,0.9,1.1
3,Bus 3,380.0,1.0,0.0,PQ,0.9,1.1
4,Bus 4,380.0,1.0,0.0,PQ,0.9,1.1
5,Bus 5,380.0,1.0,0.0,REF,0.9,1.1
6,Bus 6,380.0,1.0,0.0,PQ,0.9,1.1
7,Bus 7,380.0,1.0,0.0,PQ,0.9,1.1
8,Bus 8,380.0,1.0,0.0,PQ,0.9,1.1
9,Bus 9,380.0,1.0,0.0,PQ,0.9,1.1
