name,bus0,bus1,c_nfkm,cables,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm,x,r,b,s_max_pu,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
1,1,2_220kV,11.5,3.0,50.0,67129.0,1.3,43.379,43379.0,1.0,TenneT,Leitung 2016,0.08,2016,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(9.52257596986262 52.3604090557601,9.11321007472722 52.5438533223737)",0.32,13.057078999999998,2.60274,0.00017034893465008954,0.7,0,AC,0.0002697743595041322,5.377561983471074e-05,495.366530965,220.0
2,3,4,27.4,6.0,50.0,67131.0,5.2,72.686,72686.0,2.0,TenneT,Leitung 3011,0.0125,,3422.53239576,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.38974509624863 52.0263130660355,9.12526570294975 52.5382640870749)",0.125,8.940378,1.09029,0.0006302454579879646,0.7,0,AC,6.191397506925208e-05,7.5504847645429364e-06,3422.53239576,380.0
3,5_220kV,6,23.0,6.0,50.0,67151.0,2.6,33.943,33943.0,2.0,TenneT,Leitung 2024,0.04,1,990.733061929,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,9.91814864613865 52.3799963125719)",0.16,5.1084214999999995,1.01829,0.0002665876986019959,0.7,0,AC,0.00010554589876033057,2.1039049586776857e-05,990.733061929,220.0
4,7,5,13.7,3.0,50.0,67153.0,2.6,33.471,33471.0,1.0,TenneT,Leitung 3026,0.025,3026,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.91717971972185 52.2781686139394,10.3662749375017 52.2846467462009)",0.25,8.233865999999999,1.00413,0.00014511010183745947,0.7,0,AC,5.70212326869806e-05,6.953808864265928e-06,1711.26619788,380.0
5,8,9,27.4,6.0,50.0,67585.0,5.2,28.163,28163.0,2.0,transpower,KKW Krümmel - UW Lüneburg,0.0125,,3422.53239576,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(10.4149923381504 53.4126068830249,10.3787705903765 53.2197927685849)",0.125,3.464049,0.422445,0.0002441956199724162,0.7,0,AC,2.3989259002770084e-05,2.9255193905817177e-06,3422.53239576,380.0
6,10_220kV,11,11.5,3.0,50.0,69042.0,1.3,27.565,27565.0,1.0,50Hertz,295,0.08,295,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.2061029867985 52.6571362773373)",0.32,8.297065,1.6539,0.00010824750187025333,0.7,0,AC,0.00017142696280991735,3.4171487603305784e-05,495.366530965,220.0
7,11,12_220kV,11.5,3.0,50.0,69043.0,1.3,45.809,45809.0,1.0,50Hertz,293,0.08,293,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(13.2061029867985 52.6571362773373,13.7096697058228 52.5397952580643)",0.32,13.788509,2.7485399999999998,0.00017989152233536856,0.7,0,AC,0.00028488654958677684,5.6788016528925614e-05,495.366530965,220.0
8,10_220kV,12_220kV,11.5,3.0,50.0,69045.0,1.3,68.39,68390.0,1.0,50Hertz,294,0.08,294,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(12.9416466019288 52.5621144045848,13.7096697058228 52.5397952580643)",0.32,20.58539,4.1034,0.0002685669019737575,0.7,0,AC,0.00042531797520661157,8.478099173553718e-05,495.366530965,220.0
9,13_220kV,14,11.5,3.0,50.0,69488.0,1.3,39.282,39282.0,1.0,TenneT TSO GmbH,Oba-Nfi I,0.08,263,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8132328973194 48.2212664654998)",0.32,11.823882,2.3569199999999997,0.00015426005327289283,0.7,0,AC,0.00024429508264462807,4.8696694214876024e-05,495.366530965,220.0
10,13,15,6.85,3.0,,69489.0,1.3,44.323,44323.0,0.5,transpower,Oba-Oh,0.05,461,855.633098939,Al/St 240/40 4-bundle 380.0,380000.0,2.0,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)",0.5,21.806916,2.65938,9.607891971769168e-05,0.7,0,AC,0.0001510174238227147,1.8416759002770083e-05,855.633098939,380.0
