,205 Pumped Hydro,25 Pumped Hydro,266 Pumped Hydro,268 Pumped Hydro,293 Pumped Hydro,320 Pumped Hydro,333 Pumped Hydro,379 Pumped Hydro,424 Pumped Hydro,481 Pumped Hydro,66 Pumped Hydro,72 Pumped Hydro,78_220kV Pumped Hydro,8 Pumped Hydro,98 Pumped Hydro
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-119.1,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-119.1,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-119.1,0.0
3,0.0,-196.0,0.0,0.0,0.0,0.0,-525.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.8377,0.0,0.0,0.0,-37.6105,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.1,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.7412,0.0,0.0,0.0,-119.1,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-119.1,0.0
8,-65.8464,-196.0,-10.6737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,-98.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,59.4263,0.0,98.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,-98.8,0.0,0.0,-90.0,0.0,-39.8,-184.922,0.0,-127.0,0.0,0.0,0.0,-189.343
13,0.0,0.0,-10.6737,0.0,0.0,-9.72303,0.0,-4.29974,0.0,0.0,-13.7203,0.0,0.0,0.0,-247.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.1,146.8
15,0.0,0.0,98.8,0.0,0.0,90.0,0.0,39.8,166.892,100.0,127.0,0.0,0.0,119.1,247.0
16,0.0,0.0,0.0,0.0,-377.6,0.0,-305.921,0.0,0.0,100.0,0.0,-19.6721,-18.2166,83.3697,0.0
17,0.0,116.792,0.0,0.0,29.5462,0.0,-227.983,0.0,0.0,100.0,0.0,0.0,0.0,119.1,0.0
18,0.0,179.834,0.0,0.0,311.238,0.0,430.661,0.0,0.0,100.0,0.0,17.7541,16.4405,119.1,0.0
19,0.0,57.1541,0.0,0.0,0.0,0.0,525.0,0.0,0.0,100.0,0.0,0.0,0.0,119.1,0.0
20,0.0,0.0,0.0,-74.1674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,-36.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
