name,bus0,bus1,length,num_parallel,s_nom,s_max_pu,carrier,s_nom_opt,v_nom
1,0,5,331.5676278198014,0.75,1283.44964841,1.0,AC,1283.44964841,380.0
2,0,6,262.7979879503792,2.0,2814.5825623009996,1.0,AC,2814.5825623009996,380.0
3,0,8,141.36438796543658,9.0,10537.797113259,1.0,AC,10537.797113259,380.0
4,1,12,87.34798969577595,13.5,15198.745836429,0.9999999999999999,AC,15198.745836429,380.0
5,1,13,172.07732813593606,4.0,6845.06479152,1.0,AC,6845.06479152,380.0
6,1,9,208.3084491120322,2.0,3422.53239576,1.0,AC,3422.53239576,380.0
7,10,12,254.5157357356714,1.0,1711.26619788,1.0,AC,1711.26619788,380.0
8,10,13,154.0893480908343,7.0,7723.214550954999,1.0,AC,7723.214550954999,380.0
9,10,3,181.90101859763166,6.5,7475.531285472999,1.0,AC,7475.531285472999,380.0
10,10,6,264.60739576908867,1.0,1711.26619788,1.0,AC,1711.26619788,380.0
11,10,7,291.56103060481695,4.0,6845.06479152,1.0,AC,6845.06479152,380.0
12,10,8,185.56274471408415,8.0,8826.530915379,0.9999999999999999,AC,8826.530915379,380.0
13,11,2,145.7459238826988,1.75,1778.816179375,1.0,AC,1778.816179375,380.0
14,11,5,149.56570029289978,2.0,2814.582562302,1.0,AC,2814.582562302,380.0
15,11,6,211.85250381960148,3.0,5133.79859364,1.0,AC,5133.79859364,380.0
16,12,7,130.0601696344724,10.5,13712.646243537,1.0,AC,13712.646243537,380.0
17,12,9,151.10782396854472,4.5,5876.848390087,1.0,AC,5876.848390087,380.0
18,2,4,188.8864071893898,2.0,3422.53239576,1.0,AC,3422.53239576,380.0
19,2,6,313.0208516290595,3.75,3985.44890822,1.0,AC,3985.44890822,380.0
20,3,8,165.45399102144674,1.5,1350.999629904,1.0,AC,1350.999629904,380.0
21,4,7,209.2489002536553,5.0,6124.531655567999,1.0000000000000002,AC,6124.531655567999,380.0
22,4,9,153.58032200492744,1.5,1958.9494633599998,1.0000000000000002,AC,1958.9494633599998,380.0
23,5,6,169.28416666484588,8.75,14973.57923145,1.0,AC,14973.57923145,380.0
24,6,7,184.3225755633406,2.5,4278.165494698,1.0,AC,4278.165494698,380.0
25,6,8,334.03981643209124,1.0,1711.26619788,1.0,AC,1711.26619788,380.0
