name,bus
1,7
3,7
4,7
6,7
7,7
8,4
9,4
11,11
14,0
16,7
17,11
19,8
21,4
23,4
25,4
27,4
28,4
29,7
31,7
33,7
34,9
35,9
36,9
38,11
39,2
40,2
41,2
43,11
44,11
45,11
47,11
48,11
49,7
50,7
51,7
53,3
54,10
55,10
57,10
58,10
59,9
60,9
62,9
63,3
64,0
65,5
66,0
67,9
70,10
71,6
72,6
73,11
75,6
76,12
77,7
79,5
80,5
81,5
82,9
83,4
84,4
85,1
88,1
89,1
90,12
91,9
92,9
93,9
97,0
98,2
101,2
102,2
103,1
108,1
109,1
110,12
111,12
112,1
113,1
114,12
115,1
116,1
118,1
119,1
121,1
122,1
126,1
127,1
130,1
131,1
132,1
133,1
134,1
135,12
136,12
137,1
139,1
140,1
141,1
142,1
144,1
145,1
146,1
147,12
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,12
158,1
161,9
162,1
163,1
164,1
166,12
167,12
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,2
178,12
179,11
180,11
181,11
182,11
183,4
185,1
186,1
187,1
188,1
189,3
190,3
192,2
193,1
194,1
196,1
197,1
198,12
199,12
200,1
202,9
203,1
204,12
205,1
206,1
207,12
208,12
209,7
210,7
211,13
212,13
213,10
214,10
215,10
216,10
217,2
218,2
219,12
221,9
222,9
223,10
224,10
225,13
226,7
227,8
228,10
229,10
230,8
234,3
235,3
237,13
238,13
239,13
240,10
241,10
242,10
245,10
246,10
249,12
253,12
254,13
255,13
256,13
257,10
258,7
259,7
260,3
262,8
265,12
266,0
268,12
269,12
270,9
271,9
273,4
274,4
275,13
276,13
277,9
278,6
280,5
283,10
284,10
285,9
286,7
287,12
288,3
289,12
290,5
291,5
293,6
294,6
295,7
296,7
297,7
298,7
299,7
300,9
301,7
302,7
304,10
305,10
306,10
309,10
310,10
311,10
313,6
314,8
316,8
318,8
319,8
320,10
321,3
323,6
324,5
325,5
326,5
327,5
328,0
329,0
330,0
331,0
333,4
335,6
337,0
339,10
340,6
341,6
342,6
343,6
344,6
345,6
346,11
347,11
348,11
349,0
350,0
352,0
354,0
355,13
356,13
357,13
358,13
359,13
361,13
363,12
364,1
365,11
366,10
367,10
368,3
369,4
370,13
371,13
372,13
373,0
374,12
375,10
376,7
377,8
378,10
379,10
380,7
381,10
383,10
386,12
387,7
388,7
389,10
390,0
392,1
393,8
394,8
395,8
396,8
397,10
398,4
399,10
400,12
401,4
402,4
405,3
406,3
409,10
410,8
411,12
412,4
414,4
415,4
416,3
417,0
418,0
422,10
423,3
424,10
425,7
426,7
427,10
428,5
429,1
430,1
431,1
432,8
433,8
434,8
435,11
436,3
437,3
438,3
439,3
440,4
441,6
442,6
443,9
444,9
445,12
446,2
447,2
448,1
449,1
451,1
452,13
453,13
454,1
455,1
456,1
457,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,12
471,1
472,12
473,12
474,7
475,7
476,12
477,12
478,12
479,7
480,7
481,7
482,7
483,8
484,8
485,8
486,8
487,8
488,10
489,7
490,7
491,8
492,10
493,10
494,10
495,4
2_220kV,7
5_220kV,7
10_220kV,11
12_220kV,11
13_220kV,0
15_220kV,0
18_220kV,2
20_220kV,4
22_220kV,4
24_220kV,4
26_220kV,4
30_220kV,4
32_220kV,6
37_220kV,6
42_220kV,2
46_220kV,11
52_220kV,10
56_220kV,10
61_220kV,9
68_220kV,10
69_220kV,10
74_220kV,5
78_220kV,6
86_220kV,9
87_220kV,1
94_220kV,12
95_220kV,12
96_220kV,9
99_220kV,13
100_220kV,13
104_220kV,1
105_220kV,1
106_220kV,1
107_220kV,1
117_220kV,1
120_220kV,12
123_220kV,1
124_220kV,1
125_220kV,1
128_220kV,13
129_220kV,1
138_220kV,1
143_220kV,1
156_220kV,1
157_220kV,12
159_220kV,9
160_220kV,9
165_220kV,12
184_220kV,1
191_220kV,1
195_220kV,1
201_220kV,4
220_220kV,12
231_220kV,3
232_220kV,8
233_220kV,8
236_220kV,10
247_220kV,8
248_220kV,12
250_220kV,12
251_220kV,12
252_220kV,12
261_220kV,10
263_220kV,8
264_220kV,8
267_220kV,1
272_220kV,4
279_220kV,6
281_220kV,6
282_220kV,6
292_220kV,6
303_220kV,7
307_220kV,10
308_220kV,10
312_220kV,8
315_220kV,8
317_220kV,8
322_220kV,3
332_220kV,0
334_220kV,6
336_220kV,6
338_220kV,0
351_220kV,0
353_220kV,0
360_220kV,13
362_220kV,3
382_220kV,10
384_220kV,8
385_220kV,10
391_220kV,10
403_220kV,3
404_220kV,3
413_220kV,10
421_220kV,10
450_220kV,1
458_220kV,1
