name,bus,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,p_nom_opt
100_220kV Pumped Hydro,13,144.5,Pumped Hydro,3.0,6.0,0.95,0.95,144.5
114 Pumped Hydro,12,138.0,Pumped Hydro,3.0,6.0,0.95,0.95,138.0
121 Pumped Hydro,1,238.0,Pumped Hydro,3.0,6.0,0.95,0.95,238.0
140 Pumped Hydro,1,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,100.0
141 Pumped Hydro,1,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,100.0
158 Pumped Hydro,1,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,100.0
166 Pumped Hydro,12,1.5,Pumped Hydro,3.0,6.0,0.95,0.95,1.5
205 Pumped Hydro,1,153.0,Pumped Hydro,3.0,6.0,0.95,0.95,153.0
228 Pumped Hydro,10,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,100.0
235 Pumped Hydro,3,470.0,Pumped Hydro,3.0,6.0,0.95,0.95,470.0
25 Pumped Hydro,4,196.0,Pumped Hydro,3.0,6.0,0.95,0.95,196.0
266 Pumped Hydro,0,98.8,Pumped Hydro,3.0,6.0,0.95,0.95,98.8
268 Pumped Hydro,12,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,100.0
279_220kV Pumped Hydro,6,1045.2,Pumped Hydro,3.0,6.0,0.95,0.95,1045.2
293 Pumped Hydro,6,377.6,Pumped Hydro,3.0,6.0,0.95,0.95,377.6
320 Pumped Hydro,10,90.0,Pumped Hydro,3.0,6.0,0.95,0.95,90.0
32_220kV Pumped Hydro,6,220.0,Pumped Hydro,3.0,6.0,0.95,0.95,220.0
333 Pumped Hydro,4,525.0,Pumped Hydro,3.0,6.0,0.95,0.95,525.0
342 Pumped Hydro,6,79.7,Pumped Hydro,3.0,6.0,0.95,0.95,79.7
343 Pumped Hydro,6,1052.0,Pumped Hydro,3.0,6.0,0.95,0.95,1052.0
362_220kV Pumped Hydro,3,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,100.0
368 Pumped Hydro,3,910.0,Pumped Hydro,3.0,6.0,0.95,0.95,910.0
374 Pumped Hydro,12,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,100.0
379 Pumped Hydro,10,39.8,Pumped Hydro,3.0,6.0,0.95,0.95,39.8
389 Pumped Hydro,10,164.0,Pumped Hydro,3.0,6.0,0.95,0.95,164.0
397 Pumped Hydro,10,144.5,Pumped Hydro,3.0,6.0,0.95,0.95,144.5
423 Pumped Hydro,3,360.0,Pumped Hydro,3.0,6.0,0.95,0.95,360.0
424 Pumped Hydro,10,295.0,Pumped Hydro,3.0,6.0,0.95,0.95,295.0
479 Pumped Hydro,7,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,100.0
481 Pumped Hydro,7,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,100.0
493 Pumped Hydro,10,100.0,Pumped Hydro,3.0,6.0,0.95,0.95,100.0
51 Pumped Hydro,7,623.0,Pumped Hydro,3.0,6.0,0.95,0.95,623.0
63 Pumped Hydro,3,43.0,Pumped Hydro,3.0,6.0,0.95,0.95,43.0
66 Pumped Hydro,0,127.0,Pumped Hydro,3.0,6.0,0.95,0.95,127.0
72 Pumped Hydro,6,198.0,Pumped Hydro,3.0,6.0,0.95,0.95,198.0
78_220kV Pumped Hydro,6,79.8,Pumped Hydro,3.0,6.0,0.95,0.95,79.8
8 Pumped Hydro,4,119.1,Pumped Hydro,3.0,6.0,0.95,0.95,119.1
98 Pumped Hydro,2,247.0,Pumped Hydro,3.0,6.0,0.95,0.95,247.0
