name;bus0;bus1;length;num_parallel;s_nom;s_max_pu;r;x;1444;0,04;0,16;1,15E-08;314,1592654
1;0;13;189,1394841;4;4413,265458;1;0,00130983;1,00428E-07;3,95E+00;;;;
2;0;5;224,6176208;2;3422,532396;1;0,003111047;6,47493E-08;2,34E+00;;;;
3;0;7;158,9613109;5,5;8196,064421;1;0,000800611;7,4355E-08;4,56E+00;;;;
4;0;9;149,2319935;5,25;7768,247872;1;0,0007874;7,4884E-08;4,09E+00;;;;
5;1;10;80,36849628;18;21075,59423;1;0,000123682;9,46336E-08;7,55E+00;;;;
6;1;5;158,434718;4;6845,064792;1;0,001097193;6,47493E-08;3,31E+00;;;;
7;1;6;138,8183685;10;12249,06331;1;0,000384538;9,04586E-08;7,24E+00;;;;
8;1;9;265,9040888;1;1711,266198;1;0,007365764;6,47493E-08;1,39E+00;;;;
9;10;4;166,6587714;4;6845,064792;1;0,001154147;6,47493E-08;3,48E+00;;;;
10;11;2;192,7026189;1,75;1778,816179;1;0,003050299;1,09008E-07;1,76E+00;;;;
11;11;7;172,1717117;10,25;17540,47853;1;0,000465298;6,47493E-08;9,21E+00;;;;
12;12;2;187,8958573;2;3422,532396;1;0,002602436;6,47493E-08;1,96E+00;;;;
13;12;5;230,5293715;2;3422,532396;1;0,003192928;6,47493E-08;2,41E+00;;;;
14;12;6;148,8298455;2;3422,532396;1;0,002061355;6,47493E-08;1,55E+00;;;;
15;13;7;277,5355328;1,75;2386,766013;1;0,004393123;8,12421E-08;2,53E+00;;;;
16;13;8;148,1080391;4;4413,265458;1;0,001025679;1,00428E-07;3,09E+00;;;;
17;2;7;301,7341561;3,75;3985,448908;1;0,002228876;1,04257E-07;5,90E+00;;;;
18;3;8;166,7669513;1,5;1350,99963;1;0,003079722;1,23024E-07;1,31E+00;;;;
19;3;9;181,8915452;6,5;7475,531285;1;0,000775161;9,63439E-08;6,17E+00;;;;
20;4;9;150,2159039;3,5;5989,431693;1;0,001188887;6,47493E-08;2,74E+00;;;;
21;5;6;149,1221601;6;6619,898187;1;0,000688468;1,00428E-07;4,67E+00;;;;
22;5;7;172,0490368;6;6011,948353;1;0,000794317;1,10583E-07;5,39E+00;;;;
23;5;9;291,5686041;2;3422,532396;1;0,004038346;6,47493E-08;3,04E+00;;;;
24;8;9;190,1938869;6;7835,797853;1;0,000878088;8,48439E-08;5,95E+00;;;;
