,100_220kV Pumped Hydro,25 Pumped Hydro,266 Pumped Hydro,279_220kV Pumped Hydro,293 Pumped Hydro,32_220kV Pumped Hydro,333 Pumped Hydro,342 Pumped Hydro,343 Pumped Hydro,72 Pumped Hydro,78_220kV Pumped Hydro,8 Pumped Hydro,98 Pumped Hydro
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,-270.446276644326,0.0,0.0,-79.7,0.0,0.0,0.0,0.0,-98.7254293851136
8,-144.5,0.0,0.0,-1045.2,-191.082756873144,0.0,0.0,-8.61024930747922,-1052.0,0.0,-8.62105263157889,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,-220.0,0.0,0.0,0.0,-198.0,0.0,0.0,0.0
10,0.0,-196.0,0.0,0.0,0.0,-220.0,-525.0,0.0,-135.445381718803,-198.0,-79.8,-119.1,0.0
11,-15.6108033240997,-21.1745152354571,0.0,-712.524138272262,0.0,0.0,0.0,0.0,-676.932542056285,0.0,0.0,0.0,-174.958781141202
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,-1.81898940354586e-12,541.146034790717,377.6,177.1,0.0,0.0,0.0,159.389999999999,0.0,0.0,0.0
18,144.5,196.0,0.0,1045.2,38.9299527495168,220.0,473.8125,79.7,1052.0,198.0,79.8,107.48775,247.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.601076207016,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
