name,bus,p_nom,carrier,marginal_cost,control,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_opt
1 Gas,3,121.0,Gas,8.0,Slack,0,0,0,1,0,121.0
1 Hard Coal,3,272.0,Hard Coal,25.0,PV,0,0,0,1,0,272.0
102 Gas,12,67.9,Gas,8.0,PV,0,0,0,1,0,67.9
108 Run of River,0,63.1,Run of River,3.0,PV,0,0,0,1,0,63.1
108 Waste,0,38.0,Waste,6.0,PV,0,0,0,1,0,38.0
111 Gas,9,13.5,Gas,8.0,PV,0,0,0,1,0,13.5
112 Gas,9,13.5,Gas,8.0,PV,0,0,0,1,0,13.5
112 Run of River,9,11.1,Run of River,3.0,PV,0,0,0,1,0,11.1
114 Hard Coal,9,19.0,Hard Coal,25.0,PV,0,0,0,1,0,19.0
115 Brown Coal,0,4730.0,Brown Coal,10.0,PV,0,0,0,1,0,4730.0
116 Gas,0,543.3,Gas,8.0,PV,0,0,0,1,0,543.3
118 Gas,0,95.0,Gas,8.0,PV,0,0,0,1,0,95.0
118 Waste,0,12.0,Waste,6.0,PV,0,0,0,1,0,12.0
119 Brown Coal,0,9.3,Brown Coal,10.0,PV,0,0,0,1,0,9.3
119 Gas,0,16.9,Gas,8.0,PV,0,0,0,1,0,16.9
119 Hard Coal,0,61.5,Hard Coal,25.0,PV,0,0,0,1,0,61.5
121 Brown Coal,0,24.6,Brown Coal,10.0,PV,0,0,0,1,0,24.6
123_220kV Brown Coal,0,3455.0,Brown Coal,10.0,PV,0,0,0,1,0,3455.0
123_220kV Gas,0,96.5,Gas,8.0,PV,0,0,0,1,0,96.5
126 Gas,0,2.0,Gas,8.0,PV,0,0,0,1,0,2.0
126 Oil,0,60.0,Oil,100.0,PV,0,0,0,1,0,60.0
127 Brown Coal,0,1800.0,Brown Coal,10.0,PV,0,0,0,1,0,1800.0
127 Waste,0,24.0,Waste,6.0,PV,0,0,0,1,0,24.0
128_220kV Run of River,11,36.4,Run of River,3.0,PV,0,0,0,1,0,36.4
129_220kV Hard Coal,0,61.5,Hard Coal,25.0,PV,0,0,0,1,0,61.5
12_220kV Gas,5,150.0,Gas,8.0,PV,0,0,0,1,0,150.0
12_220kV Waste,5,30.0,Waste,6.0,PV,0,0,0,1,0,30.0
130 Hard Coal,0,85.0,Hard Coal,25.0,PV,0,0,0,1,0,85.0
130 Waste,0,30.0,Waste,6.0,PV,0,0,0,1,0,30.0
131 Gas,0,586.3,Gas,8.0,PV,0,0,0,1,0,586.3
132 Storage Hydro,0,29.0,Storage Hydro,3.0,PV,0,0,0,1,0,29.0
133 Brown Coal,0,137.0,Brown Coal,10.0,PV,0,0,0,1,0,137.0
133 Waste,0,33.4,Waste,6.0,PV,0,0,0,1,0,33.4
134 Brown Coal,0,118.0,Brown Coal,10.0,PV,0,0,0,1,0,118.0
136 Gas,9,838.0,Gas,8.0,PV,0,0,0,1,0,838.0
136 Hard Coal,9,765.0,Hard Coal,25.0,PV,0,0,0,1,0,765.0
137 Gas,0,11.4,Gas,8.0,PV,0,0,0,1,0,11.4
139 Hard Coal,0,760.0,Hard Coal,25.0,PV,0,0,0,1,0,760.0
14 Run of River,8,27.0,Run of River,3.0,PV,0,0,0,1,0,27.0
140 Gas,9,11.1,Gas,8.0,PV,0,0,0,1,0,11.1
141 Gas,9,64.7,Gas,8.0,PV,0,0,0,1,0,64.7
142 Gas,0,9.8,Gas,8.0,PV,0,0,0,1,0,9.8
142 Hard Coal,0,449.0,Hard Coal,25.0,PV,0,0,0,1,0,449.0
145 Brown Coal,0,75.3,Brown Coal,10.0,PV,0,0,0,1,0,75.3
145 Gas,0,536.5,Gas,8.0,PV,0,0,0,1,0,536.5
145 Other,0,79.8,Other,32.0,PV,0,0,0,1,0,79.8
145 Waste,0,45.1,Waste,6.0,PV,0,0,0,1,0,45.1
146 Gas,0,84.0,Gas,8.0,PV,0,0,0,1,0,84.0
147 Gas,9,230.0,Gas,8.0,PV,0,0,0,1,0,230.0
148 Gas,0,10.2,Gas,8.0,PV,0,0,0,1,0,10.2
148 Oil,0,86.2,Oil,100.0,PV,0,0,0,1,0,86.2
148 Waste,0,53.7,Waste,6.0,PV,0,0,0,1,0,53.7
149 Run of River,0,128.7,Run of River,3.0,PV,0,0,0,1,0,128.7
150 Gas,0,15.8,Gas,8.0,PV,0,0,0,1,0,15.8
153 Waste,0,12.0,Waste,6.0,PV,0,0,0,1,0,12.0
155 Waste,9,12.6,Waste,6.0,PV,0,0,0,1,0,12.6
156_220kV Brown Coal,0,28.9,Brown Coal,10.0,PV,0,0,0,1,0,28.9
157_220kV Brown Coal,9,857.0,Brown Coal,10.0,PV,0,0,0,1,0,857.0
157_220kV Gas,9,22.0,Gas,8.0,PV,0,0,0,1,0,22.0
16 Gas,3,11.4,Gas,8.0,PV,0,0,0,1,0,11.4
160_220kV Hard Coal,13,103.0,Hard Coal,25.0,PV,0,0,0,1,0,103.0
160_220kV Waste,13,14.0,Waste,6.0,PV,0,0,0,1,0,14.0
161 Gas,13,58.58,Gas,8.0,PV,0,0,0,1,0,58.58
166 Gas,9,333.6,Gas,8.0,PV,0,0,0,1,0,333.6
166 Hard Coal,9,1324.5,Hard Coal,25.0,PV,0,0,0,1,0,1324.5
167 Gas,9,26.0,Gas,8.0,PV,0,0,0,1,0,26.0
167 Run of River,9,46.9,Run of River,3.0,PV,0,0,0,1,0,46.9
169 Gas,0,33.7,Gas,8.0,PV,0,0,0,1,0,33.7
170 Gas,0,23.1,Gas,8.0,PV,0,0,0,1,0,23.1
170 Waste,0,61.5,Waste,6.0,PV,0,0,0,1,0,61.5
174 Gas,0,24.5,Gas,8.0,PV,0,0,0,1,0,24.5
174 Other,0,38.0,Other,32.0,PV,0,0,0,1,0,38.0
175 Hard Coal,0,95.0,Hard Coal,25.0,PV,0,0,0,1,0,95.0
175 Other,0,21.0,Other,32.0,PV,0,0,0,1,0,21.0
176 Gas,0,3.3,Gas,8.0,PV,0,0,0,1,0,3.3
