name,bus0,bus1,length,num_parallel,s_nom,s_max_pu,build_year,carrier,s_nom_opt,v_nom
1,0,11,167.4186549159115,4.0,6845.06479152,0.7,0,AC,6845.06479152,380.0
2,0,9,78.15552376759707,18.0,21075.594226517995,0.7,0,AC,21075.594226517995,380.0
3,1,10,160.91162098353303,6.75,9119.24750186,0.7,0,AC,9119.24750186,380.0
4,1,12,285.22898844774846,3.5,3557.63235875,0.7,0,AC,3557.63235875,380.0
5,1,3,184.59617876704704,2.25,3850.348945229,0.7,0,AC,3850.348945229,380.0
6,1,5,157.38117317352328,12.25,18531.2115902,0.7,0,AC,18531.2115902,380.0
7,1,8,304.9625116802017,0.75,1283.44964841,0.7,0,AC,1283.44964841,380.0
8,10,3,237.26847382928892,2.75,4705.982044169999,0.7,0,AC,4705.982044169999,380.0
9,10,4,162.48115947813608,5.25,7768.247871951999,0.7,0,AC,7768.247871951999,380.0
10,10,8,193.16655270103587,5.0,5516.581822110999,0.7,0,AC,5516.581822110999,380.0
11,11,4,147.3842201313845,7.0,7723.214550954999,0.7,0,AC,7723.214550954999,380.0
12,12,5,204.24603048182223,1.75,1778.816179375,0.7,0,AC,1778.816179375,380.0
13,12,6,190.08410114945397,2.0,3422.53239576,0.7,0,AC,3422.53239576,380.0
14,13,3,160.27678033138434,1.0,1711.26619788,0.7,0,AC,1711.26619788,380.0
15,13,6,136.66232617073663,1.5,1958.94946336,0.7,0,AC,1958.94946336,380.0
16,13,9,164.43342906661064,7.0,8331.164384414998,0.7,0,AC,8331.164384414998,380.0
17,2,4,188.3883635969985,6.0,7835.797853448999,0.7,0,AC,7835.797853448999,380.0
18,2,7,166.76695128529866,1.5,1350.999629904,0.7,0,AC,1350.999629904,380.0
19,2,8,148.10803908997795,4.0,4413.265457689,0.7,0,AC,4413.265457689,380.0
20,3,4,296.6407535252193,2.0,3422.53239576,0.7,0,AC,3422.53239576,380.0
21,3,6,208.87085456205384,5.0,6124.531655567999,0.7,0,AC,6124.531655567999,380.0
22,3,9,133.12005643856435,3.0,5133.79859364,0.7,0,AC,5133.79859364,380.0
23,4,7,181.7675792966063,6.5,7475.531285472999,0.7,0,AC,7475.531285472999,380.0
24,4,9,266.11919565228885,1.0,1711.26619788,0.7,0,AC,1711.26619788,380.0
