name,bus_id,active_power,max_active_power,max_reactive_power
Load_0,0,7208.304766664407,3560.615474226157,4272.738569071388
Load_1,1,2770.4943873889497,6041.925,7250.31
Load_2,2,2958.488930076845,1031.25,1237.5
Load_3,3,4112.848312183502,563.25,675.9
Load_4,4,9532.202989416002,2553.66,3064.392
Load_5,5,3959.0590724737012,720.7363541430088,864.8836249716106
Load_6,6,3818.8940810642007,648.4499999999999,778.1399999999999
Load_7,7,1664.573036238592,232.04999999999998,278.46
Load_8,8,4886.3363210848,3494.5499999999997,4193.459999999999
Load_9,9,3890.5530387416998,6369.9,7643.879999999999
Load_10,10,2779.1632820614,2033.3999999999999,2440.08
Load_11,11,1812.8038481980777,1529.8500000000001,1835.8200000000002
Load_12,12,720.6539052696999,477.59999999999997,573.1199999999999
Load_13,13,1639.7040291386897,250.64999999999998,300.78
