name,bus0,bus1,length,num_parallel,s_nom,s_max_pu
1,0,12,227.56862615609535,2.0,3422.53239576,1.0
2,0,5,163.7195226648585,2.0,3422.532395756,1.0
3,0,6,187.89585729501778,2.0,3422.53239576,1.0
4,1,10,147.3842201313845,7.0,7723.214550954999,1.0
5,1,11,181.7675792966063,6.5,7475.531285472999,1.0
6,1,12,294.182599261247,2.0,3422.53239576,1.0
7,1,13,263.98997061784087,1.0,1711.26619788,1.0
8,1,4,188.3883635969985,6.0,7835.797853448999,1.0
9,1,7,158.45347811171777,5.25,7768.247871951999,1.0000000000000002
10,10,3,161.7043961679775,4.0,6845.06479152,1.0
11,11,4,166.76695128529866,1.5,1350.999629904,1.0
12,12,13,171.68656339753375,2.0,3422.53239576,1.0
13,12,5,136.49757424241625,8.0,10042.430582295,1.0
14,12,7,209.6137280286889,5.5,6980.164754509999,1.0000000000000002
15,12,8,177.55988262494614,2.5,2454.315994325,1.0
16,13,3,72.8274826441255,16.5,20332.544430070997,1.0000000000000002
17,13,5,134.88849749225068,6.0,7835.797853448999,1.0000000000000002
18,2,6,192.70261886966827,1.75,1778.816179375,1.0
19,2,8,168.6617491880138,10.25,17540.47852827,0.9999999999999999
20,4,9,148.10803908997795,4.0,4413.265457689,1.0
21,6,8,300.5899335233406,3.75,3985.44890822,1.0
22,7,8,146.1361620250886,10.0,15896.762311884,1.0
23,7,9,203.283450949749,4.0,4413.2654576899995,1.0
24,8,9,278.11448335671764,1.75,2386.766012831,1.0
