name,bus
1,12
3,12
4,5
6,12
7,12
8,0
9,0
11,2
14,9
16,12
17,2
19,4
21,0
23,0
25,0
27,0
28,0
29,12
31,12
33,7
34,5
35,5
36,5
38,2
39,6
40,6
41,6
43,2
44,2
45,2
47,2
48,2
49,12
50,12
51,12
53,11
54,1
55,1
57,1
58,1
59,5
60,5
62,5
63,11
64,9
65,8
66,9
67,5
70,1
71,8
72,8
73,2
75,8
76,5
77,12
79,2
80,2
81,2
82,5
83,0
84,0
85,13
88,3
89,3
90,13
91,13
92,13
93,13
97,9
98,6
101,6
102,6
103,3
108,3
109,13
110,13
111,13
112,13
113,13
114,13
115,3
116,3
118,3
119,3
121,3
122,3
126,3
127,3
130,3
131,3
132,3
133,3
134,3
135,13
136,13
137,3
139,13
140,13
141,13
142,13
144,13
145,3
146,3
147,13
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,13
158,3
161,5
162,3
163,3
164,13
166,13
167,13
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,6
178,13
179,2
180,2
181,2
182,2
183,0
185,3
186,3
187,3
188,3
189,11
190,11
192,6
193,3
194,3
196,3
197,3
198,13
199,13
200,3
202,13
203,13
204,13
205,13
206,3
207,13
208,13
209,5
210,12
211,10
212,10
213,1
214,1
215,1
216,1
217,6
218,6
219,5
221,5
222,5
223,1
224,1
225,10
226,12
227,4
228,1
229,1
230,4
234,11
235,11
237,10
238,10
239,10
240,1
241,1
242,1
245,1
246,1
249,13
253,13
254,10
255,10
256,10
257,1
258,12
259,12
260,1
262,4
265,5
266,9
268,13
269,13
270,5
271,5
273,0
274,0
275,10
276,10
277,5
278,8
280,2
283,1
284,1
285,5
286,12
287,13
288,11
289,13
290,2
291,2
293,8
294,7
295,12
296,5
297,12
298,12
299,12
300,5
301,12
302,12
304,7
305,1
306,1
309,1
310,1
311,1
313,8
314,4
316,4
318,4
319,4
320,1
321,11
323,8
324,2
325,2
326,2
327,8
328,9
329,9
330,9
331,9
333,0
335,7
337,9
339,1
340,8
341,8
342,12
343,7
344,8
345,8
346,2
347,2
348,2
349,9
350,7
352,9
354,9
355,10
356,10
357,10
358,10
359,10
361,10
363,13
364,3
365,2
366,1
367,1
368,11
369,0
370,10
371,10
372,10
373,9
374,13
375,1
376,5
377,4
378,1
379,1
380,12
381,1
383,7
386,5
387,5
388,5
389,1
390,7
392,13
393,4
394,4
395,4
396,4
397,1
398,0
399,1
400,5
401,0
402,0
405,11
406,11
409,1
410,4
411,5
412,0
414,0
415,0
416,11
417,9
418,9
422,1
423,11
424,1
425,12
426,12
427,1
428,2
429,3
430,3
431,3
432,4
433,4
434,4
435,2
436,11
437,11
438,1
439,1
440,0
441,8
442,8
443,5
444,5
445,13
446,6
447,6
448,13
449,13
451,13
452,10
453,10
454,3
455,3
456,3
457,13
459,13
460,13
461,13
462,13
463,3
464,3
465,3
466,3
467,3
468,3
469,3
470,13
471,3
472,13
473,13
474,5
475,5
476,5
477,5
478,13
479,12
480,12
481,12
482,12
483,4
484,4
485,4
486,4
487,4
488,1
489,12
490,12
491,4
492,1
493,1
494,1
495,0
2_220kV,5
5_220kV,12
10_220kV,2
12_220kV,2
13_220kV,9
15_220kV,9
18_220kV,6
20_220kV,0
22_220kV,0
24_220kV,0
26_220kV,0
30_220kV,0
32_220kV,7
37_220kV,8
42_220kV,6
46_220kV,2
52_220kV,1
56_220kV,1
61_220kV,5
68_220kV,1
69_220kV,1
74_220kV,2
78_220kV,8
86_220kV,13
87_220kV,13
94_220kV,5
95_220kV,5
96_220kV,13
99_220kV,10
100_220kV,10
104_220kV,3
105_220kV,3
106_220kV,13
107_220kV,13
117_220kV,3
120_220kV,13
123_220kV,3
124_220kV,3
125_220kV,3
128_220kV,10
129_220kV,3
138_220kV,3
143_220kV,13
156_220kV,3
157_220kV,5
159_220kV,5
160_220kV,5
165_220kV,13
184_220kV,3
191_220kV,3
195_220kV,3
201_220kV,5
220_220kV,5
231_220kV,11
232_220kV,4
233_220kV,4
236_220kV,1
247_220kV,4
248_220kV,13
250_220kV,13
251_220kV,13
252_220kV,13
261_220kV,1
263_220kV,4
264_220kV,4
267_220kV,3
272_220kV,0
279_220kV,8
281_220kV,8
282_220kV,8
292_220kV,8
303_220kV,12
307_220kV,1
308_220kV,7
312_220kV,4
315_220kV,4
317_220kV,4
322_220kV,11
332_220kV,9
334_220kV,7
336_220kV,8
338_220kV,9
351_220kV,9
353_220kV,9
360_220kV,10
362_220kV,11
382_220kV,7
384_220kV,7
385_220kV,1
391_220kV,1
403_220kV,11
404_220kV,11
413_220kV,1
421_220kV,1
450_220kV,13
458_220kV,13
