name,bus,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch
100_220kV Pumped Hydro,10,144.5,Pumped Hydro,3.0,6.0,0.95,0.95
114 Pumped Hydro,13,138.0,Pumped Hydro,3.0,6.0,0.95,0.95
121 Pumped Hydro,3,238.0,Pumped Hydro,3.0,6.0,0.95,0.95
140 Pumped Hydro,13,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
141 Pumped Hydro,13,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
158 Pumped Hydro,3,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
166 Pumped Hydro,13,1.5,Pumped Hydro,3.0,6.0,0.95,0.95
205 Pumped Hydro,13,153.0,Pumped Hydro,3.0,6.0,0.95,0.95
228 Pumped Hydro,1,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
235 Pumped Hydro,11,470.0,Pumped Hydro,3.0,6.0,0.95,0.95
25 Pumped Hydro,0,196.0,Pumped Hydro,3.0,6.0,0.95,0.95
266 Pumped Hydro,9,98.8,Pumped Hydro,3.0,6.0,0.95,0.95
268 Pumped Hydro,13,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
279_220kV Pumped Hydro,8,1045.2,Pumped Hydro,3.0,6.0,0.95,0.95
293 Pumped Hydro,8,377.6,Pumped Hydro,3.0,6.0,0.95,0.95
320 Pumped Hydro,1,90.0,Pumped Hydro,3.0,6.0,0.95,0.95
32_220kV Pumped Hydro,7,220.0,Pumped Hydro,3.0,6.0,0.95,0.95
333 Pumped Hydro,0,525.0,Pumped Hydro,3.0,6.0,0.95,0.95
342 Pumped Hydro,12,79.7,Pumped Hydro,3.0,6.0,0.95,0.95
343 Pumped Hydro,7,1052.0,Pumped Hydro,3.0,6.0,0.95,0.95
362_220kV Pumped Hydro,11,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
368 Pumped Hydro,11,910.0,Pumped Hydro,3.0,6.0,0.95,0.95
374 Pumped Hydro,13,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
379 Pumped Hydro,1,39.8,Pumped Hydro,3.0,6.0,0.95,0.95
389 Pumped Hydro,1,164.0,Pumped Hydro,3.0,6.0,0.95,0.95
397 Pumped Hydro,1,144.5,Pumped Hydro,3.0,6.0,0.95,0.95
423 Pumped Hydro,11,360.0,Pumped Hydro,3.0,6.0,0.95,0.95
424 Pumped Hydro,1,295.0,Pumped Hydro,3.0,6.0,0.95,0.95
479 Pumped Hydro,12,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
481 Pumped Hydro,12,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
493 Pumped Hydro,1,100.0,Pumped Hydro,3.0,6.0,0.95,0.95
51 Pumped Hydro,12,623.0,Pumped Hydro,3.0,6.0,0.95,0.95
63 Pumped Hydro,11,43.0,Pumped Hydro,3.0,6.0,0.95,0.95
66 Pumped Hydro,9,127.0,Pumped Hydro,3.0,6.0,0.95,0.95
72 Pumped Hydro,8,198.0,Pumped Hydro,3.0,6.0,0.95,0.95
78_220kV Pumped Hydro,8,79.8,Pumped Hydro,3.0,6.0,0.95,0.95
8 Pumped Hydro,0,119.1,Pumped Hydro,3.0,6.0,0.95,0.95
98 Pumped Hydro,6,247.0,Pumped Hydro,3.0,6.0,0.95,0.95
