name,bus_id,fuel,fuel_price,active_power,active_power_limits_max,active_power_limits_min,reactive_power_limits_max,reactive_power_limits_min,min_down_time,min_up_time,unit_type,bace_mva
1 Gas,12,OTHER,50.0,121.0,121.0,0.1,100.0,0.1,1.0,3.0,PV,100.0
1 Hard Coal,12,OTHER,25.0,272.0,272.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
102 Gas,6,OTHER,50.0,67.9,67.9,0.1,100.0,0.1,1.0,3.0,PQ,100.0
108 Run of River,3,OTHER,3.0,63.1,63.1,0.1,100.0,0.1,1.0,3.0,PQ,100.0
108 Waste,3,OTHER,6.0,38.0,38.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
111 Gas,13,OTHER,50.0,13.5,13.5,0.1,100.0,0.1,1.0,3.0,PQ,100.0
112 Gas,13,OTHER,50.0,13.5,13.5,0.1,100.0,0.1,1.0,3.0,PQ,100.0
112 Run of River,13,OTHER,3.0,11.1,11.1,0.1,100.0,0.1,1.0,3.0,PQ,100.0
114 Hard Coal,13,OTHER,25.0,19.0,19.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
115 Brown Coal,3,OTHER,10.0,4730.0,4730.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
116 Gas,3,OTHER,50.0,543.3,543.3,0.1,100.0,0.1,1.0,3.0,PQ,100.0
118 Gas,3,OTHER,50.0,95.0,95.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
118 Waste,3,OTHER,6.0,12.0,12.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
119 Brown Coal,3,OTHER,10.0,9.3,9.3,0.1,100.0,0.1,1.0,3.0,PQ,100.0
119 Gas,3,OTHER,50.0,16.9,16.9,0.1,100.0,0.1,1.0,3.0,PQ,100.0
119 Hard Coal,3,OTHER,25.0,61.5,61.5,0.1,100.0,0.1,1.0,3.0,PQ,100.0
121 Brown Coal,3,OTHER,10.0,24.6,24.6,0.1,100.0,0.1,1.0,3.0,PQ,100.0
123_220kV Brown Coal,3,OTHER,10.0,3455.0,3455.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
123_220kV Gas,3,OTHER,50.0,96.5,96.5,0.1,100.0,0.1,1.0,3.0,PQ,100.0
126 Gas,3,OTHER,50.0,2.0,2.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
126 Oil,3,OTHER,100.0,60.0,60.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
127 Brown Coal,3,OTHER,10.0,1800.0,1800.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
127 Waste,3,OTHER,6.0,24.0,24.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
128_220kV Run of River,10,OTHER,3.0,36.4,36.4,0.1,100.0,0.1,1.0,3.0,PQ,100.0
129_220kV Hard Coal,3,OTHER,25.0,61.5,61.5,0.1,100.0,0.1,1.0,3.0,PQ,100.0
12_220kV Gas,2,OTHER,50.0,150.0,150.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
12_220kV Waste,2,OTHER,6.0,30.0,30.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
130 Hard Coal,3,OTHER,25.0,85.0,85.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
130 Waste,3,OTHER,6.0,30.0,30.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
131 Gas,3,OTHER,50.0,586.3,586.3,0.1,100.0,0.1,1.0,3.0,PQ,100.0
132 Storage Hydro,3,OTHER,3.0,29.0,29.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
133 Brown Coal,3,OTHER,10.0,137.0,137.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
133 Waste,3,OTHER,6.0,33.4,33.4,0.1,100.0,0.1,1.0,3.0,PQ,100.0
134 Brown Coal,3,OTHER,10.0,118.0,118.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
136 Gas,13,OTHER,50.0,838.0,838.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
136 Hard Coal,13,OTHER,25.0,765.0,765.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
137 Gas,3,OTHER,50.0,11.4,11.4,0.1,100.0,0.1,1.0,3.0,PQ,100.0
139 Hard Coal,13,OTHER,25.0,760.0,760.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
14 Run of River,9,OTHER,3.0,27.0,27.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
140 Gas,13,OTHER,50.0,11.1,11.1,0.1,100.0,0.1,1.0,3.0,PQ,100.0
141 Gas,13,OTHER,50.0,64.7,64.7,0.1,100.0,0.1,1.0,3.0,PQ,100.0
142 Gas,13,OTHER,50.0,9.8,9.8,0.1,100.0,0.1,1.0,3.0,PQ,100.0
142 Hard Coal,13,OTHER,25.0,449.0,449.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
145 Brown Coal,3,OTHER,10.0,75.3,75.3,0.1,100.0,0.1,1.0,3.0,PQ,100.0
145 Gas,3,OTHER,50.0,536.5,536.5,0.1,100.0,0.1,1.0,3.0,PQ,100.0
145 Other,3,OTHER,32.0,79.8,79.8,0.1,100.0,0.1,1.0,3.0,PQ,100.0
145 Waste,3,OTHER,6.0,45.1,45.1,0.1,100.0,0.1,1.0,3.0,PQ,100.0
146 Gas,3,OTHER,50.0,84.0,84.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
147 Gas,13,OTHER,50.0,230.0,230.0,0.1,100.0,0.1,1.0,3.0,PQ,100.0
148 Gas,3,OTHER,50.0,10.2,10.2,0.1,100.0,0.1,1.0,3.0,PQ,100.0
148 Oil,3,OTHER,100.0,86.2,86.2,0.1,100.0,0.1,1.0,3.0,PQ,100.0
