name,max_active_power,bus_id
Load_1_12,100.0,12
Load_3_12,100.0,12
Load_4_5,100.0,5
Load_6_12,100.0,12
Load_7_12,100.0,12
Load_8_0,100.0,0
Load_9_0,100.0,0
Load_11_2,100.0,2
Load_14_9,100.0,9
Load_16_12,100.0,12
Load_17_2,100.0,2
Load_19_4,100.0,4
Load_21_0,100.0,0
Load_23_0,100.0,0
Load_25_0,100.0,0
Load_27_0,100.0,0
Load_28_0,100.0,0
Load_29_12,100.0,12
Load_31_12,100.0,12
Load_33_7,100.0,7
Load_34_5,100.0,5
Load_35_5,100.0,5
Load_36_5,100.0,5
Load_38_2,100.0,2
Load_39_6,100.0,6
Load_40_6,100.0,6
Load_41_6,100.0,6
Load_43_2,100.0,2
Load_44_2,100.0,2
Load_45_2,100.0,2
Load_47_2,100.0,2
Load_48_2,100.0,2
Load_49_12,100.0,12
Load_50_12,100.0,12
Load_51_12,100.0,12
Load_53_11,100.0,11
Load_54_1,100.0,1
Load_55_1,100.0,1
Load_57_1,100.0,1
Load_58_1,100.0,1
Load_59_5,100.0,5
Load_60_5,100.0,5
Load_62_5,100.0,5
Load_63_11,100.0,11
Load_64_9,100.0,9
Load_65_8,100.0,8
Load_66_9,100.0,9
Load_67_5,100.0,5
Load_70_1,100.0,1
Load_71_8,100.0,8
Load_72_8,100.0,8
Load_73_2,100.0,2
Load_75_8,100.0,8
Load_76_5,100.0,5
Load_77_12,100.0,12
Load_79_2,100.0,2
Load_80_2,100.0,2
Load_81_2,100.0,2
Load_82_5,100.0,5
Load_83_0,100.0,0
Load_84_0,100.0,0
Load_85_13,100.0,13
Load_88_3,100.0,3
Load_89_3,100.0,3
Load_90_13,100.0,13
Load_91_13,100.0,13
Load_92_13,100.0,13
Load_93_13,100.0,13
Load_97_9,100.0,9
Load_98_6,100.0,6
Load_101_6,100.0,6
Load_102_6,100.0,6
Load_103_3,100.0,3
Load_108_3,100.0,3
Load_109_13,100.0,13
Load_110_13,100.0,13
Load_111_13,100.0,13
Load_112_13,100.0,13
Load_113_13,100.0,13
Load_114_13,100.0,13
Load_115_3,100.0,3
Load_116_3,100.0,3
Load_118_3,100.0,3
Load_119_3,100.0,3
Load_121_3,100.0,3
Load_122_3,100.0,3
Load_126_3,100.0,3
Load_127_3,100.0,3
Load_130_3,100.0,3
Load_131_3,100.0,3
Load_132_3,100.0,3
Load_133_3,100.0,3
Load_134_3,100.0,3
Load_135_13,100.0,13
Load_136_13,100.0,13
Load_137_3,100.0,3
Load_139_13,100.0,13
Load_140_13,100.0,13
Load_141_13,100.0,13
Load_142_13,100.0,13
Load_144_13,100.0,13
Load_145_3,100.0,3
Load_146_3,100.0,3
Load_147_13,100.0,13
Load_148_3,100.0,3
Load_149_3,100.0,3
Load_150_3,100.0,3
Load_151_3,100.0,3
Load_152_3,100.0,3
Load_153_3,100.0,3
Load_154_3,100.0,3
Load_155_13,100.0,13
Load_158_3,100.0,3
Load_161_5,100.0,5
Load_162_3,100.0,3
Load_163_3,100.0,3
Load_164_13,100.0,13
Load_166_13,100.0,13
Load_167_13,100.0,13
Load_168_3,100.0,3
Load_169_3,100.0,3
Load_170_3,100.0,3
Load_171_3,100.0,3
Load_172_3,100.0,3
Load_173_3,100.0,3
Load_174_3,100.0,3
Load_175_3,100.0,3
Load_176_3,100.0,3
Load_177_6,100.0,6
Load_178_13,100.0,13
Load_179_2,100.0,2
Load_180_2,100.0,2
Load_181_2,100.0,2
Load_182_2,100.0,2
Load_183_0,100.0,0
Load_185_3,100.0,3
Load_186_3,100.0,3
Load_187_3,100.0,3
Load_188_3,100.0,3
Load_189_11,100.0,11
Load_190_11,100.0,11
Load_192_6,100.0,6
Load_193_3,100.0,3
Load_194_3,100.0,3
Load_196_3,100.0,3
Load_197_3,100.0,3
Load_198_13,100.0,13
Load_199_13,100.0,13
Load_200_3,100.0,3
Load_202_13,100.0,13
Load_203_13,100.0,13
Load_204_13,100.0,13
Load_205_13,100.0,13
Load_206_3,100.0,3
Load_207_13,100.0,13
Load_208_13,100.0,13
Load_209_5,100.0,5
Load_210_12,100.0,12
Load_211_10,100.0,10
Load_212_10,100.0,10
Load_213_1,100.0,1
Load_214_1,100.0,1
Load_215_1,100.0,1
Load_216_1,100.0,1
Load_217_6,100.0,6
Load_218_6,100.0,6
Load_219_5,100.0,5
Load_221_5,100.0,5
Load_222_5,100.0,5
Load_223_1,100.0,1
Load_224_1,100.0,1
Load_225_10,100.0,10
Load_226_12,100.0,12
Load_227_4,100.0,4
Load_228_1,100.0,1
Load_229_1,100.0,1
Load_230_4,100.0,4
Load_234_11,100.0,11
Load_235_11,100.0,11
Load_237_10,100.0,10
Load_238_10,100.0,10
Load_239_10,100.0,10
Load_240_1,100.0,1
Load_241_1,100.0,1
Load_242_1,100.0,1
Load_245_1,100.0,1
Load_246_1,100.0,1
Load_249_13,100.0,13
Load_253_13,100.0,13
Load_254_10,100.0,10
Load_255_10,100.0,10
Load_256_10,100.0,10
Load_257_1,100.0,1
Load_258_12,100.0,12
Load_259_12,100.0,12
Load_260_1,100.0,1
Load_262_4,100.0,4
Load_265_5,100.0,5
Load_266_9,100.0,9
Load_268_13,100.0,13
Load_269_13,100.0,13
Load_270_5,100.0,5
Load_271_5,100.0,5
Load_273_0,100.0,0
Load_274_0,100.0,0
Load_275_10,100.0,10
Load_276_10,100.0,10
Load_277_5,100.0,5
Load_278_8,100.0,8
Load_280_2,100.0,2
Load_283_1,100.0,1
Load_284_1,100.0,1
Load_285_5,100.0,5
Load_286_12,100.0,12
Load_287_13,100.0,13
Load_288_11,100.0,11
Load_289_13,100.0,13
Load_290_2,100.0,2
Load_291_2,100.0,2
Load_293_8,100.0,8
Load_294_7,100.0,7
Load_295_12,100.0,12
Load_296_5,100.0,5
Load_297_12,100.0,12
Load_298_12,100.0,12
Load_299_12,100.0,12
Load_300_5,100.0,5
Load_301_12,100.0,12
Load_302_12,100.0,12
Load_304_7,100.0,7
Load_305_1,100.0,1
Load_306_1,100.0,1
Load_309_1,100.0,1
Load_310_1,100.0,1
Load_311_1,100.0,1
Load_313_8,100.0,8
Load_314_4,100.0,4
Load_316_4,100.0,4
Load_318_4,100.0,4
Load_319_4,100.0,4
Load_320_1,100.0,1
Load_321_11,100.0,11
Load_323_8,100.0,8
Load_324_2,100.0,2
Load_325_2,100.0,2
Load_326_2,100.0,2
Load_327_8,100.0,8
Load_328_9,100.0,9
Load_329_9,100.0,9
Load_330_9,100.0,9
Load_331_9,100.0,9
Load_333_0,100.0,0
Load_335_7,100.0,7
Load_337_9,100.0,9
Load_339_1,100.0,1
Load_340_8,100.0,8
Load_341_8,100.0,8
Load_342_12,100.0,12
Load_343_7,100.0,7
Load_344_8,100.0,8
Load_345_8,100.0,8
